Source path,Public URL,Primary intent,Title,Meta description,Canonical,Index status,Schema type,Priority
docs/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/,AI coding tools handbook,AI Coding Tools Handbook for Developers and Teams,"Compare AI coding tools, prompts, MCP workflows, repository instructions, security guidance, and team adoption patterns in one open-source handbook.",https://ankitparekh007.github.io/ai-tools-cheatsheets/,index,Article,High
docs/getting-started/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/,Getting Started Overview guide,Getting Started Overview for AI Coding Tools and Coding Agents,Start here if you are new to the repository or new to AI coding tools on the team.,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/,index,Article,Medium
docs/getting-started/why-this-repo.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/why-this-repo.html,Why This Repo Exists guide,Why This Repo Exists for AI Coding Tools and Coding Agents,"AI coding guidance is scattered across vendor docs, release notes, screenshots, forum posts, prompt snippets, and team folklore. That makes even basic questions h...",https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/why-this-repo.html,index,Article,Medium
docs/getting-started/quick-start.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/quick-start.html,Quick Start guide,Quick Start for AI Coding Tools and Coding Agents,This page is the safest short path for a developer or team that wants to start using this repository without approving every tool or every automation pattern on d...,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/quick-start.html,index,Article,Medium
docs/getting-started/how-to-use-this-site.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/how-to-use-this-site.html,How to Use This Site guide,How to Use This Site for AI Coding Tools and Coding Agents,"This site works best when you enter from the task you are trying to complete, not from the vendor you already know.",https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/how-to-use-this-site.html,index,Article,Medium
docs/getting-started/choosing-the-right-tool.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/choosing-the-right-tool.html,AI coding tool comparison,How to Choose the Right AI Coding Tool for Your Workflow,"Choose between terminal agents, IDE assistants, and MCP-enabled workflows with practical guidance for developers, teams, and security-conscious adoption.",https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/choosing-the-right-tool.html,index,Article,High
docs/getting-started/comparison-matrix.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/comparison-matrix.html,AI coding tools comparison,AI Coding Tools Comparison for Developers and Teams,"Compare Claude Code, OpenAI Codex, Cursor, GitHub Copilot, Gemini CLI, and related AI coding tools by workflow fit, configuration, security, and team controls.",https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/comparison-matrix.html,index,Article,High
docs/getting-started/terminology.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/terminology.html,Terminology guide,Terminology for AI Coding Tools and Coding Agents,"Use these definitions as repository terminology, not as universal vendor language.",https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/terminology.html,index,Article,Medium
docs/getting-started/fork-for-your-team.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/fork-for-your-team.html,Fork for Your Team guide,Fork for Your Team for AI Coding Tools and Coding Agents,Forking this repo is the fastest way for an engineering team to create its own AI coding handbook.,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/fork-for-your-team.html,index,Article,Medium
docs/getting-started/social-preview-and-promotion.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/social-preview-and-promotion.html,Social Preview and Promotion guide,Social Preview and Promotion for AI Coding Tools and Coding Agents,"Use this page when you want to make the repository easier to discover, easier to understand at a glance, and easier to share with other engineers or teams.",https://ankitparekh007.github.io/ai-tools-cheatsheets/getting-started/social-preview-and-promotion.html,index,Article,Medium
docs/for-developers/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/for-developers/,For Developers landing page,"AI Coding Tools for Developers: Setup, Workflows and MCP Safety","Use this page if you want to choose an AI coding tool, configure a repository, adopt safer daily workflows, and find the fastest path to practical examples.",https://ankitparekh007.github.io/ai-tools-cheatsheets/for-developers/,index,Article,Medium
docs/for-teams/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/for-teams/,For Teams landing page,"AI Coding Tools for Teams: Standards, Security and Rollout","Use this page if your team wants to standardize AI coding tools, prompts, repository instructions, MCP usage, and contribution practices without losing security o...",https://ankitparekh007.github.io/ai-tools-cheatsheets/for-teams/,index,Article,Medium
docs/for-engineering-leaders/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/for-engineering-leaders/,For Engineering Leaders landing page,AI Coding Governance and Adoption Guide for Engineering Leaders,"Use this page if you need a practical starting point for evaluating AI coding tools as an engineering capability, not just as isolated individual experiments.",https://ankitparekh007.github.io/ai-tools-cheatsheets/for-engineering-leaders/,index,Article,Medium
docs/for-platform-and-security/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/for-platform-and-security/,For Platform and Security landing page,AI Coding Security and MCP Controls for Platform and Security Teams,"Use this page if you are evaluating AI coding tools through the lens of permissions, credentials, MCP risk, review controls, and revocation.",https://ankitparekh007.github.io/ai-tools-cheatsheets/for-platform-and-security/,index,Article,Medium
docs/tools/README.md,https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/,Tools Overview guide,AI Coding Tool Guides and Setup Reference,"This section contains tool-specific reference pages for the tools most teams evaluate first. Learn setup, commands, limitations, security notes, and related workf...",https://ankitparekh007.github.io/ai-tools-cheatsheets/tools/,index,TechArticle,Medium
